Genus,IDs_x,IDs_y
Methyloceanibacter,[],[]
Methylocella,"['449714025', '310915091', '47457719', '47457718', '47457717', '47457716', '47457715', '29788134', '21685403', '3805791']","['449714025', '310915091', '47457719', '47457718', '47457717', '47457716', '47457715', '29788134', '21685403', '3805791']"
Methylocystis,"['1041792219', '1033473381', '1003337134', '1003337133', '1003337132', '1003337131', '384080409', '242246703', '762207480', '555928650', '555928643', '498915382', '498915381', '498915380', '219912177', '219912093', '229359419', '229359418', '285307255', '110224732']","['1041792219', '1033473381', '1003337134', '1003337133', '1003337132', '1003337131', '384080409', '242246703', '762207480', '555928650', '555928643', '498915382', '498915381', '498915380', '219912177', '219912093', '229359419', '229359418', '285307255', '110224732']"
Methylomicrobium,"['555928647', '175216']","['555928647', '175216']"
Methylomonas,"['1219552653', '1206271295', '1206269820', '1206269505', '1206256999', '1206256936', '1206256923', '1206256903', '1041792802', '432177502', '432177496', '384367856', '555928653', '555928646', '555928645', '555928642', '610507956', '498915384', '432177513', '432177512']","['1219552653', '1206271295', '1206269820', '1206269505', '1206256999', '1206256936', '1206256923', '1206256903', '1041792802', '432177502', '432177496', '384367856', '555928653', '555928646', '555928645', '555928642', '610507956', '498915384', '432177513', '432177512']"
Methylophaga,"['1962354370', '1013281382', '1013281379', '998612215', '743403278', '743403277', '675818032', '187319482', '118122711', '118122706', '118122703', '118122696', '118122695', '118122693', '118122690', '118122684', '118122682', '118122681', '118122679', '118122674']","['1962354370', '1013281382', '1013281379', '998612215', '743403278', '743403277', '675818032', '187319482', '118122711', '118122706', '118122703', '118122696', '118122695', '118122693', '118122690', '118122684', '118122682', '118122681', '118122679', '118122674']"
Methylophilus,"['1985644635', '1985644531', '1985644284', '1985643891', '1985643773', '1962353850', '1219551002', '1206269528', '1206256910', '1041792815', '974983732', '927920354', '672229228', '429535133', '296531558', '296531556', '285307074', '192805120', '192804855', '192804405']","['1985644635', '1985644531', '1985644284', '1985643891', '1985643773', '1962353850', '1219551002', '1206269528', '1206256910', '1041792815', '974983732', '927920354', '672229228', '429535133', '296531558', '296531556', '285307074', '192805120', '192804855', '192804405']"
Methylosinus,"['432177505', '432177504', '1033473715', '1003337130', '1003337129', '1003337128', '449714023', '449714019', '449714018', '296531592', '192806448', '192806137', '192805634', '192805449', '192805427', '192804522', '192804482', '192804359', '192804351', '60416538']","['432177505', '432177504', '1033473715', '1003337130', '1003337129', '1003337128', '449714023', '449714019', '449714018', '296531592', '192806448', '192806137', '192805634', '192805449', '192805427', '192804522', '192804482', '192804359', '192804351', '60416538']"
Methylotenera,"['1033472727', '998615535', '998614946', '449714024', '571257094', '571257074', '571257071', '186929354']","['1033472727', '998615535', '998614946', '449714024', '571257094', '571257074', '571257071', '186929354']"
Methyloversatilis,"['923142340', '571257086', '571257064', '440583627', '440583626', '440583625', '440583624', '440583623', '440583621', '186929351', '186929350', '186929349', '186929348', '186929347', '186929346']","['923142340', '571257086', '571257064', '440583627', '440583626', '440583625', '440583624', '440583623', '440583621', '186929351', '186929350', '186929349', '186929348', '186929347', '186929346']"
Methylovirgula,"['209969085', '209969084']","['209969085', '209969084']"
Micavibrio,['379056102'],['379056102']
Micavibrio sp. EPC2,[],[]
Microbacterium,"['2283394917', '1985646160', '1985645830', '1985645276', '1985644688', '1985643603', '1877246873', '1877246860', '1877246850', '1877246821', '1877246808', '1877246807', '1877246690', '1862917169', '1862917156', '1862917153', '1862917145', '1862843674', '1823467149', '1795714489']","['2283394917', '1985646160', '1985645830', '1985645276', '1985644688', '1985643603', '1877246873', '1877246860', '1877246850', '1877246821', '1877246808', '1877246807', '1877246690', '1862917169', '1862917156', '1862917153', '1862917145', '1862843674', '1823467149', '1795714489']"
Microcella,"['1248817371', '1190331584', '1041788042', '998612231', '531033834', '413958045', '169807745', '56542034', '56542037', '56542036', '56542035']","['1248817371', '1190331584', '1041788042', '998612231', '531033834', '413958045', '169807745', '56542034', '56542037', '56542036', '56542035']"
Micrococcus,"['2295461660', '2265463946', '2265463547', '1046470032', '2056114401', '1962356322', '1839230857', '1827494981', '1827494980', '1827494922', '1691059723', '1691059639', '1691059629', '1674370664', '1674370663', '1674370617', '1674370571', '1635510592', '1635510591', '1635510590']","['2295461660', '2265463946', '2265463547', '1046470032', '2056114401', '1962356322', '1839230857', '1827494981', '1827494980', '1827494922', '1691059723', '1691059639', '1691059629', '1674370664', '1674370663', '1674370617', '1674370571', '1635510592', '1635510591', '1635510590']"
Microcystis,"['2084043068', '2084043067', '1862949860', '1862949859', '6522808', '972718690', '498424994', '498424987', '498424982', '403213292', '403213291', '403213290', '403213264', '403213263', '298103755', '298103754', '298103753', '298103752', '296061324', '296061323']","['2084043068', '2084043067', '1862949860', '1862949859', '6522808', '972718690', '498424994', '498424987', '498424982', '403213292', '403213291', '403213290', '403213264', '403213263', '298103755', '298103754', '298103753', '298103752', '296061324', '296061323']"
Microlunatus,"['1985645400', '1985644875', '1985643810', '1985643286', '1985643123', '1269613278', '1269619754', '1219551082', '1079706516', '1079706207', '1041788055', '974984779', '954166428', '954166427', '954166216', '728797714', '728797682', '261325953', '299034506', '14625868']","['1985645400', '1985644875', '1985643810', '1985643286', '1985643123', '1269613278', '1269619754', '1219551082', '1079706516', '1079706207', '1041788055', '974984779', '954166428', '954166427', '954166216', '728797714', '728797682', '261325953', '299034506', '14625868']"
Microvirga,"['1985645479', '1985645419', '1985643499', '1962354037', '1363983634', '1048072074', '1048072069', '1048072062', '1048072058', '1048072056', '1048072054', '1048072053', '1048072052', '1048072051', '1013064023', '1008806196', '984880391', '974983625', '954166382', '954166381']","['1985645479', '1985645419', '1985643499', '1962354037', '1363983634', '1048072074', '1048072069', '1048072062', '1048072058', '1048072056', '1048072054', '1048072053', '1048072052', '1048072051', '1013064023', '1008806196', '984880391', '974983625', '954166382', '954166381']"
Mobilitalea,['1985647035'],['1985647035']
Moraxella,"['1962359216', '1962355916', '1363983670', '1248817372', '1248817322', '1219553591', '1215531041', '1200901470', '1200901469', '1200901468', '1200901467', '1185542106', '1168717708', '1168717707', '1139289375', '1139289374', '1139289350', '1139289346', '1139289340', '1139289335']","['1962359216', '1962355916', '1363983670', '1248817372', '1248817322', '1219553591', '1215531041', '1200901470', '1200901469', '1200901468', '1200901467', '1185542106', '1168717708', '1168717707', '1139289375', '1139289374', '1139289350', '1139289346', '1139289340', '1139289335']"
MSBL7,[],[]
MWH-UniP1 aquatic group,[],[]
Mycobacterium,"['1985647034', '1985646299', '1985645556', '1985644896', '1985644223', '1985643800', '1985643496', '1985643034', '1985643024', '1962356264', '1962356141', '1962356085', '1894914448', '1885927635', '1823469142', '1823469141', '1823469140', '1823469139', '1823469138', '1823469137']","['1985647034', '1985646299', '1985645556', '1985644896', '1985644223', '1985643800', '1985643496', '1985643034', '1985643024', '1962356264', '1962356141', '1962356085', '1894914448', '1885927635', '1823469142', '1823469141', '1823469140', '1823469139', '1823469138', '1823469137']"
Mycoplana,"['802131290', '413958060', '413958059', '295419055']","['802131290', '413958060', '413958059', '295419055']"
Natranaerovirga,['1033473174'],['1033473174']
Naxibacter,"['1046470025', '571026371', '2156558460', '2156558455', '1985647491', '1985645795', '1985645158', '1985644751', '1985644213', '1985644018', '1985643405', '1985643296', '1985643163', '1985643036', '1962359646', '1962356928', '1962356468', '1877246803', '1877246710', '1795741197']","['1046470025', '571026371', '2156558460', '2156558455', '1985647491', '1985645795', '1985645158', '1985644751', '1985644213', '1985644018', '1985643405', '1985643296', '1985643163', '1985643036', '1962359646', '1962356928', '1962356468', '1877246803', '1877246710', '1795741197']"
Neisseria,"['2303472187', '2283786003', '2268699077', '1962356297', '1962355942', '1674370629', '1516607857', '1399397234', '1269614338', '1148885181', '1139290724', '1139290714', '1139290707', '1139290548', '1139290532', '1139290456', '1139290438', '1139290210', '1139289814', '1139289813']","['2303472187', '2283786003', '2268699077', '1962356297', '1962355942', '1674370629', '1516607857', '1399397234', '1269614338', '1148885181', '1139290724', '1139290714', '1139290707', '1139290548', '1139290532', '1139290456', '1139290438', '1139290210', '1139289814', '1139289813']"
Neomegalonema,"['192806549', '192806313', '192806289', '192806132', '192806121', '192805475', '192805456', '192805440', '192805423', '192805421', '192805364', '192805247', '192804911', '192804908', '192804782', '192804679', '192804530', '192804523', '192804511', '192804479']","['192806549', '192806313', '192806289', '192806132', '192806121', '192805475', '192805456', '192805440', '192805423', '192805421', '192805364', '192805247', '192804911', '192804908', '192804782', '192804679', '192804530', '192804523', '192804511', '192804479']"
Neorhizobium,"['1635510598', '1635510597', '1635510596', '1635510595', '1635510594', '1985645190', '1674370665', '1672810374', '1672810365', '1672810359', '1672810358', '1672810345', '1672810344', '906846792', '906846789', '906846785', '762218346', '451170879', '451170878', '451170877']","['1635510598', '1635510597', '1635510596', '1635510595', '1635510594', '1985645190', '1674370665', '1672810374', '1672810365', '1672810359', '1672810358', '1672810345', '1672810344', '906846792', '906846789', '906846785', '762218346', '451170879', '451170878', '451170877']"
Nesterenkonia,"['820661270', '1625683935', '1625683902', '1625683898', '1069415147', '1190331555', '1005261093', '930697268', '930697254', '930697199', '930697093', '729042151', '729042148', '729042147', '729042145', '729042144', '729042142', '729042140', '723796425', '669632806']","['820661270', '1625683935', '1625683902', '1625683898', '1069415147', '1190331555', '1005261093', '930697268', '930697254', '930697199', '930697093', '729042151', '729042148', '729042147', '729042145', '729042144', '729042142', '729042140', '723796425', '669632806']"
Nevskia,"['1985648334', '1985644858', '1962356076', '1219552317', '1015806931', '998613301', '974984413', '696221440', '261390584', '261390536', '186929373', '94016649', '94016616', '94016607', '94016581', '94016559', '94016541', '38677828', '32879423', '2832332']","['1985648334', '1985644858', '1962356076', '1219552317', '1015806931', '998613301', '974984413', '696221440', '261390584', '261390536', '186929373', '94016649', '94016616', '94016607', '94016581', '94016559', '94016541', '38677828', '32879423', '2832332']"
Nibribacter,"['1985647033', '1985643142']","['1985647033', '1985643142']"
Nitratireductor,"['1035656904', '1035656848', '998610391', '822603490', '560878610', '559105046', '559105045', '237643969', '299034788', '184185836', '184185835', '184185833', '288774674', '159025417', '192806590', '192805370', '192804958']","['1035656904', '1035656848', '998610391', '822603490', '560878610', '559105046', '559105045', '237643969', '299034788', '184185836', '184185835', '184185833', '288774674', '159025417', '192806590', '192805370', '192804958']"
Nitrobacter,"['381140139', '1079706526', '1079706335', '459977734', '219896065', '530895', '530890', '402722', '402721', '402720', '154425120', '154425119', '154425118', '154425117', '154425116', '154425115', '154425114', '154425113', '154425112', '154425111']","['381140139', '1079706526', '1079706335', '459977734', '219896065', '530895', '530890', '402722', '402721', '402720', '154425120', '154425119', '154425118', '154425117', '154425116', '154425115', '154425114', '154425113', '154425112', '154425111']"
Nitrosococcus,"['61657613', '27527097', '27527094', '27527093']","['61657613', '27527097', '27527094', '27527093']"
Nitrosomonas,"['1985647830', '1985646863', '381140123', '1219550816', '1206271016', '1079706376', '1079706302', '937957389', '30407130', '457864645', '401662321', '398313950', '374428327', '374428326', '374428325', '374428324', '374428322', '374428321', '224808994', '224808993']","['1985647830', '1985646863', '381140123', '1219550816', '1206271016', '1079706376', '1079706302', '937957389', '30407130', '457864645', '401662321', '398313950', '374428327', '374428326', '374428325', '374428324', '374428322', '374428321', '224808994', '224808993']"
Nitrospira,"['1985647932', '1985647368', '1985646301', '1985645764', '1985645714', '1985645613', '1985645611', '1985644948', '1985644941', '1985644873', '1985644270', '1985643655', '1985643604', '1985643531', '1985643493', '1985643371', '1985643206', '1985643074', '1985643008', '1219552655']","['1985647932', '1985647368', '1985646301', '1985645764', '1985645714', '1985645613', '1985645611', '1985644948', '1985644941', '1985644873', '1985644270', '1985643655', '1985643604', '1985643531', '1985643493', '1985643371', '1985643206', '1985643074', '1985643008', '1219552655']"
Nitrospirae bacterium,[],[]
Nitrotoga,['1079707025'],['1079707025']
Nocardia,"['2265463950', '2265463941', '2104758930', '1985648172', '1985647268', '1985645318', '1985644779', '820661284', '1547055223', '1339152510', '1269613222', '1063149909', '1041788002', '1033473274', '1033015093', '1033015092', '1033015091', '1031978603', '1031978584', '1005261124']","['2265463950', '2265463941', '2104758930', '1985648172', '1985647268', '1985645318', '1985644779', '820661284', '1547055223', '1339152510', '1269613222', '1063149909', '1041788002', '1033473274', '1033015093', '1033015092', '1033015091', '1031978603', '1031978584', '1005261124']"
Nocardioides,"['2265463520', '1985648448', '1985647736', '1985647697', '1985647284', '1985646824', '1985646355', '1985646203', '1985646080', '1985645875', '1985645324', '1985645307', '1985645157', '1985644901', '1985644599', '1985644303', '1985644136', '1985644058', '1985644007', '1985643830']","['2265463520', '1985648448', '1985647736', '1985647697', '1985647284', '1985646824', '1985646355', '1985646203', '1985646080', '1985645875', '1985645324', '1985645307', '1985645157', '1985644901', '1985644599', '1985644303', '1985644136', '1985644058', '1985644007', '1985643830']"
Nordella,"['219903933', '219903859', '219899009', '157170573', '157170572', '110290619']","['219903933', '219903859', '219899009', '157170573', '157170572', '110290619']"
Noviherbaspirillum,['762210359'],['762210359']
Novosphingobium,"['1985647599', '1985646147', '1985645442', '1985645386', '1985645137', '1985644973', '1985644549', '1985644201', '1985644183', '1985643714', '1985643550', '1985643298', '1985643191', '1962359038', '1962356465', '1962354194', '1795714312', '1769933013', '1769933002', '1417735445']","['1985647599', '1985646147', '1985645442', '1985645386', '1985645137', '1985644973', '1985644549', '1985644201', '1985644183', '1985643714', '1985643550', '1985643298', '1985643191', '1962359038', '1962356465', '1962354194', '1795714312', '1769933013', '1769933002', '1417735445']"
NS10 marine group,[],[]
Oceanicola,"['806934704', '192804348', '157100028']","['806934704', '192804348', '157100028']"
Oceaniovalibus,[],[]
Ochrobactrum,"['1877246388', '1877246362', '1877246361', '1417735463', '1417735462', '1417735461', '1417735460', '1417735459', '1417735458', '1417735457', '1417735456', '1417735455', '1417735454', '1417735453', '1417735452', '1328372572', '1328370619', '1269613797', '1248816601', '1248816588']","['1877246388', '1877246362', '1877246361', '1417735463', '1417735462', '1417735461', '1417735460', '1417735459', '1417735458', '1417735457', '1417735456', '1417735455', '1417735454', '1417735453', '1417735452', '1328372572', '1328370619', '1269613797', '1248816601', '1248816588']"
Odoribacter,"['2318644316', '2318644181', '2318642717', '2318641669', '2318641640', '2318640160', '2318638873', '2318637970', '2318630939', '2318625826', '2318624214', '2318623236', '2318622996', '2318621212', '2318616321', '2318611826', '2318611104', '2278608019', '1269612805', '1269613521']","['2318644316', '2318644181', '2318642717', '2318641669', '2318641640', '2318640160', '2318638873', '2318637970', '2318630939', '2318625826', '2318624214', '2318623236', '2318622996', '2318621212', '2318616321', '2318611826', '2318611104', '2278608019', '1269612805', '1269613521']"
Oerskovia,"['1041788013', '1041788012', '1008904215', '954166227', '673531211', '493664552', '345498868', '333774157', '323363374', '220981183', '238653363', '238653362', '221360510', '196460205', '113927308', '164507622', '21702239', '21702237', '21702236', '21702235']","['1041788013', '1041788012', '1008904215', '954166227', '673531211', '493664552', '345498868', '333774157', '323363374', '220981183', '238653363', '238653362', '221360510', '196460205', '113927308', '164507622', '21702239', '21702237', '21702236', '21702235']"
Oligoflexus,"['1985647014', '1985646856', '1985646303', '1985646247', '1985643866']","['1985647014', '1985646856', '1985646303', '1985646247', '1985643866']"
Oligotropha,"['2265463635', '2265463511', '2265463506', '1033474349', '1033472658', '998614455', '672229296', '502525047', '440576613', '413958080', '358029502', '317453444', '313760344', '219896164', '300681738', '296061367', '260223718', '158933852', '121495671', '192806165']","['2265463635', '2265463511', '2265463506', '1033474349', '1033472658', '998614455', '672229296', '502525047', '440576613', '413958080', '358029502', '317453444', '313760344', '219896164', '300681738', '296061367', '260223718', '158933852', '121495671', '192806165']"
OM27 clade,[],[]
OM43 clade,[],[]
OM60(NOR5) clade,[],[]
Opitutus,"['1985648322', '1985647537', '1985647419', '1985647370', '1985647173', '1985647142', '1985646973', '1985646970', '1985646530', '1985646479', '1985646230', '1985646127', '1985646050', '1985645561', '1985645512', '1985645239', '1985644918', '1985644813', '1985644723', '1985644386']","['1985648322', '1985647537', '1985647419', '1985647370', '1985647173', '1985647142', '1985646973', '1985646970', '1985646530', '1985646479', '1985646230', '1985646127', '1985646050', '1985645561', '1985645512', '1985645239', '1985644918', '1985644813', '1985644723', '1985644386']"
Orenia,['7339530'],['7339530']
Oribacterium,"['2318621765', '2278608020', '1139291009', '1139290991', '1139290116', '1139290062', '1139290061', '1139290058', '1139290048', '1139290019', '1139290007', '1139289970', '1139289964', '1139289891', '1139289774', '1139289746', '1139289522', '1139289309', '1139289263', '1139288865']","['2318621765', '2278608020', '1139291009', '1139290991', '1139290116', '1139290062', '1139290061', '1139290058', '1139290048', '1139290019', '1139290007', '1139289970', '1139289964', '1139289891', '1139289774', '1139289746', '1139289522', '1139289309', '1139289263', '1139288865']"
Orientia,"['146739436', '538441', '192805663']","['146739436', '538441', '192805663']"
Ornatilinea,[],[]
Oscillibacter,"['2318645459', '2318643719', '2318642582', '2318642523', '2318641427', '2318636416', '2318636140', '2318631668', '2318631455', '2318630336', '2318630014', '2318629871', '2318629656', '2318629373', '2318628695', '2318627582', '2318626896', '2318626408', '2318626311', '2318626310']","['2318645459', '2318643719', '2318642582', '2318642523', '2318641427', '2318636416', '2318636140', '2318631668', '2318631455', '2318630336', '2318630014', '2318629871', '2318629656', '2318629373', '2318628695', '2318627582', '2318626896', '2318626408', '2318626311', '2318626310']"
Oscillospira,"['1328373724', '1328373596', '1328373381', '1328373329', '1328373320', '1328373288', '1328373254', '1328373251', '1328373199', '1328373125', '1328373064', '1328372989', '1328372946', '1328372785', '1328372768', '1328372652', '1328372610', '1328372598', '1328372546', '1328372461']","['1328373724', '1328373596', '1328373381', '1328373329', '1328373320', '1328373288', '1328373254', '1328373251', '1328373199', '1328373125', '1328373064', '1328372989', '1328372946', '1328372785', '1328372768', '1328372652', '1328372610', '1328372598', '1328372546', '1328372461']"
Ottowia,"['2265463657', '2265463655', '1268844082', '192804583', '27848582']","['2265463657', '2265463655', '1268844082', '192804583', '27848582']"
Oxalicibacterium,[],[]
Oxobacter,"['671695952', '671695951', '671695950', '671695949', '572658']","['671695952', '671695951', '671695950', '671695949', '572658']"
Paenarthrobacter,"['1877246847', '1877246837', '1877246836', '1877246831', '1877246827', '1862917155', '1691059612', '1635510553', '1635510552', '1635510500', '1635510496', '1635510480', '1635510479', '1635510460', '1635510459', '1635510454', '1635510452', '1635510451', '1635510401', '1635510387']","['1877246847', '1877246837', '1877246836', '1877246831', '1877246827', '1862917155', '1691059612', '1635510553', '1635510552', '1635510500', '1635510496', '1635510480', '1635510479', '1635510460', '1635510459', '1635510454', '1635510452', '1635510451', '1635510401', '1635510387']"
Paenibacillus,"['2243461228', '2243461223', '2243461218', '1985647741', '1985647576', '1985647454', '1985647425', '1985647386', '1985646910', '1985646506', '1985646435', '1985646419', '1985646175', '1985645844', '1985645693', '1985645552', '1985645305', '1985644963', '1985644947', '1985644847']","['2243461228', '2243461223', '2243461218', '1985647741', '1985647576', '1985647454', '1985647425', '1985647386', '1985646910', '1985646506', '1985646435', '1985646419', '1985646175', '1985645844', '1985645693', '1985645552', '1985645305', '1985644963', '1985644947', '1985644847']"
Paeniglutamicibacter,"['687670901', '687670876', '664616136', '532164437', '165931739', '478731755', '478731754', '478731615', '198447070', '38256566', '42414529', '38256565']","['687670901', '687670876', '664616136', '532164437', '165931739', '478731755', '478731754', '478731615', '198447070', '38256566', '42414529', '38256565']"
Paenisporosarcina,"['1417735477', '1417735476', '1417735475', '1206257115', '239703767', '953940361', '932855261', '762218072', '762217992', '507581297', '385145333', '385145310', '313192529', '315002355', '315002354', '198447076', '329581594', '329580522', '325974602', '315466306']","['1417735477', '1417735476', '1417735475', '1206257115', '239703767', '953940361', '932855261', '762218072', '762217992', '507581297', '385145333', '385145310', '313192529', '315002355', '315002354', '198447076', '329581594', '329580522', '325974602', '315466306']"
Paenochrobactrum,['229890773'],['229890773']
Paludibacter,"['1328373723', '1328373694', '1328373693', '1328373566', '1328373343', '1328373310', '1328373284', '1328373271', '1328373079', '1328372975', '1328372970', '1328372921', '1328372788', '1328372672', '1328372549', '1328372526', '1328372488', '1328372243', '1328372189', '1328372088']","['1328373723', '1328373694', '1328373693', '1328373566', '1328373343', '1328373310', '1328373284', '1328373271', '1328373079', '1328372975', '1328372970', '1328372921', '1328372788', '1328372672', '1328372549', '1328372526', '1328372488', '1328372243', '1328372189', '1328372088']"
Paludibaculum,['1985645133'],['1985645133']
Panacagrimonas,"['1985647413', '1985644264', '1985643321', '1962353827', '727353932']","['1985647413', '1985644264', '1985643321', '1962353827', '727353932']"
Pandoraea,"['1735425164', '1735425163', '1735425162', '1735425161', '1735425160', '1735425159', '1735425158', '1735425157', '1735425156', '1735425155', '1735425154', '1735425153', '1735425152', '1735425151', '1735425150', '1735425149', '1735424901', '1691059743', '1691059702', '1691059691']","['1735425164', '1735425163', '1735425162', '1735425161', '1735425160', '1735425159', '1735425158', '1735425157', '1735425156', '1735425155', '1735425154', '1735425153', '1735425152', '1735425151', '1735425150', '1735425149', '1735424901', '1691059743', '1691059702', '1691059691']"
Pannonibacter,"['1219551448', '1219551352', '321156603', '192806193', '192805659', '192805066', '192805006', '192804742', '192804626', '14272367', '14272366', '7634092', '105295530', '105295525', '77415867']","['1219551448', '1219551352', '321156603', '192806193', '192805659', '192805066', '192805006', '192804742', '192804626', '14272367', '14272366', '7634092', '105295530', '105295525', '77415867']"
Pantoea,"['2324092129', '2303472191', '1962356806', '1877246642', '1877246561', '1877246560', '1877246552', '1877246541', '1877246532', '1756572566', '1672810369', '1379009971', '1345633702', '1320620123', '1320620122', '1320620121', '1320620117', '1279335034', '1248817285', '1133643392']","['2324092129', '2303472191', '1962356806', '1877246642', '1877246561', '1877246560', '1877246552', '1877246541', '1877246532', '1756572566', '1672810369', '1379009971', '1345633702', '1320620123', '1320620122', '1320620121', '1320620117', '1279335034', '1248817285', '1133643392']"
Parabacteroides,"['2318644302', '2318643689', '2318643289', '2318642583', '2318642538', '2318642356', '2318641936', '2318637900', '2318636564', '2318635251', '2318633135', '2318625669', '2318625314', '2318624241', '2318623757', '2318622968', '2318621737', '2318620964', '2318619283', '2318619031']","['2318644302', '2318643689', '2318643289', '2318642583', '2318642538', '2318642356', '2318641936', '2318637900', '2318636564', '2318635251', '2318633135', '2318625669', '2318625314', '2318624241', '2318623757', '2318622968', '2318621737', '2318620964', '2318619283', '2318619031']"
Parablastomonas,[],[]
Paracoccus,"['2295461617', '2295461613', '2295461556', '311690762', '1985646349', '1985645485', '1985644832', '1985644168', '1985643443', '1962354486', '1795714276', '612149155', '1773404719', '1691059717', '1674370669', '1674370668', '1674370667', '1674370590', '1674370589', '1614056654']","['2295461617', '2295461613', '2295461556', '311690762', '1985646349', '1985645485', '1985644832', '1985644168', '1985643443', '1962354486', '1795714276', '612149155', '1773404719', '1691059717', '1674370669', '1674370668', '1674370667', '1674370590', '1674370589', '1614056654']"
Parapusillimonas,[],[]
Parasutterella,"['2318641050', '2318638801', '2318626265', '2318624667', '2318624566', '2318623957', '2318623054', '2318620790', '2318620560', '2318620275', '2318620204', '2318620176', '2318618714', '2318617989', '2318617307', '2318615554', '2318615081', '2318613239', '2318612294', '2318612264']","['2318641050', '2318638801', '2318626265', '2318624667', '2318624566', '2318623957', '2318623054', '2318620790', '2318620560', '2318620275', '2318620204', '2318620176', '2318618714', '2318617989', '2318617307', '2318615554', '2318615081', '2318613239', '2318612294', '2318612264']"
Parvibaculum,"['1985647846', '1985645596', '1985643879', '1985643804', '1033472837', '1028913305', '291482160', '291482159', '254262306', '192806577', '192806551', '192806527', '192806521', '192806463', '192806452', '192806424', '192806375', '192806367', '192806298', '192806217']","['1985647846', '1985645596', '1985643879', '1985643804', '1033472837', '1028913305', '291482160', '291482159', '254262306', '192806577', '192806551', '192806527', '192806521', '192806463', '192806452', '192806424', '192806375', '192806367', '192806298', '192806217']"
Parvularcula,"['1962356994', '675818006', '192806031']","['1962356994', '675818006', '192806031']"
Paucibacter,"['558694888', '558694887', '558694886', '558694885', '558694884', '558694883', '558694882', '558694881', '558694879', '558694878', '558694877', '558694876', '558694875', '558694874', '558694872', '558694871', '558694870', '571026572', '220981158', '144225504']","['558694888', '558694887', '558694886', '558694885', '558694884', '558694883', '558694882', '558694881', '558694879', '558694878', '558694877', '558694876', '558694875', '558694874', '558694872', '558694871', '558694870', '571026572', '220981158', '144225504']"
Paucimonas,"['94016684', '1488635', '1488634']","['94016684', '1488635', '1488634']"
Pedobacter,"['1985647246', '1985647096', '1985646698', '1985646620', '1985646519', '1985646225', '1985646081', '1985645779', '1985645392', '1985645328', '1985645076', '1985644878', '1985644634', '1985644554', '1985644364', '1985644331', '1985644158', '1985644092', '1985643817', '1985643552']","['1985647246', '1985647096', '1985646698', '1985646620', '1985646519', '1985646225', '1985646081', '1985645779', '1985645392', '1985645328', '1985645076', '1985644878', '1985644634', '1985644554', '1985644364', '1985644331', '1985644158', '1985644092', '1985643817', '1985643552']"
Pedomicrobium,"['1985646516', '1985643160', '1985643054', '1962356904', '1269613470', '1139287645', '1139287633', '1139275817', '1079706946', '1079706913', '1079706860', '1079706520', '697264489', '697264463', '672229771', '219913738', '219903900', '310770939', '310770930', '310770929']","['1985646516', '1985643160', '1985643054', '1962356904', '1269613470', '1139287645', '1139287633', '1139275817', '1079706946', '1079706913', '1079706860', '1079706520', '697264489', '697264463', '672229771', '219913738', '219903900', '310770939', '310770930', '310770929']"
Pelobacter,"['1771880376', '1195743118', '1195743117', '1195743116', '1195743115', '1195743114', '1195743113', '332368638', '332368637', '315466779', '219898451', '306422279', '299034794', '299034777', '242246529', '242246505', '101914166', '12055479', '7672226']","['1771880376', '1195743118', '1195743117', '1195743116', '1195743115', '1195743114', '1195743113', '332368638', '332368637', '315466779', '219898451', '306422279', '299034794', '299034777', '242246529', '242246505', '101914166', '12055479', '7672226']"
Pelolinea,[],[]
Pelomonas,"['1985646324', '1269612803', '1219550450', '1206269451', '1033474539', '998615459', '974983566', '974983238', '460834713', '345640662', '345640562', '345640542', '224027619', '224027618', '224027617', '224027616', '224027615', '224027614', '304939541', '158935097']","['1985646324', '1269612803', '1219550450', '1206269451', '1033474539', '998615459', '974983566', '974983238', '460834713', '345640662', '345640562', '345640542', '224027619', '224027618', '224027617', '224027616', '224027615', '224027614', '304939541', '158935097']"
Pelosinus,"['1033473356', '1033472595', '995969408', '930697140', '930697112', '930697045', '930697295', '296433948', '296433947', '656322204', '656322203', '656322202', '120538758', '120538757']","['1033473356', '1033472595', '995969408', '930697140', '930697112', '930697045', '930697295', '296433948', '296433947', '656322204', '656322203', '656322202', '120538758', '120538757']"
Pelospora,['6562763'],['6562763']
Pelotomaculum,"['1079706534', '1079706322', '1079705491', '1079705264', '1041791705', '1041791704', '1041791703', '1033474677', '1033474414', '1033473669', '1033473631', '1033473564', '1033472967', '1033472954', '1033472335', '1033472263', '1033472140', '1033472096', '187936514', '81295036']","['1079706534', '1079706322', '1079705491', '1079705264', '1041791705', '1041791704', '1041791703', '1033474677', '1033474414', '1033473669', '1033473631', '1033473564', '1033472967', '1033472954', '1033472335', '1033472263', '1033472140', '1033472096', '187936514', '81295036']"
Peptoclostridium,"['937957395', '572653']","['937957395', '572653']"
Peptococcus,"['2318634912', '2318620304', '2318617666', '2318617352', '2318612389', '2318611632', '2318611511', '1269613302', '1219552272', '1139290408', '1139289786', '1139289760', '1139289754', '1139288933', '1139288834', '1139288792', '1139282384', '1139281871', '1139281856', '1139281285']","['2318634912', '2318620304', '2318617666', '2318617352', '2318612389', '2318611632', '2318611511', '1269613302', '1219552272', '1139290408', '1139289786', '1139289760', '1139289754', '1139288933', '1139288834', '1139288792', '1139282384', '1139281871', '1139281856', '1139281285']"
